,Gender,Age,Debt,MaritalStatus,BankCustomer,EducationLevel,YearsEmployed,Default,Employed,CreditScore,DriversLicense,Citizen,PostalCode,Income,ApprovalStatus
55,Female,23.33,11.625,y,0,w,0.835,0,f,786,t,TRUE,160,300,TRUE
56,Female,23.17,0,u,1,cc,0.085,0,f,1082,f,TRUE,0,0,TRUE
57,Female,44.33,0.5,u,1,i,5,0,f,1019,t,TRUE,320,0,TRUE
58,Female,35.17,4.5,u,1,x,5.75,0,f,723,t,FALSE,711,0,TRUE
59,Female,43.25,3,u,1,q,6,0,t,1654,f,TRUE,80,0,TRUE
60,Female,56.75,12.25,u,1,m,1.25,0,t,866,t,TRUE,200,0,TRUE
61,Female,31.67,16.165,u,1,d,3,0,t,706,f,TRUE,250,730,TRUE
62,Male,23.42,0.79,y,0,q,1.5,0,t,700,t,TRUE,80,400,TRUE
63,Male,20.42,0.835,u,1,q,1.585,0,t,1031,f,TRUE,0,0,TRUE
64,Female,26.67,4.25,u,1,cc,4.29,0,t,1761,t,TRUE,120,0,TRUE
65,Female,34.17,1.54,u,1,cc,1.54,0,t,857,t,TRUE,520,50000,TRUE
66,Male,36,1,u,1,c,2,0,t,1846,f,TRUE,0,456,TRUE
67,Female,25.5,0.375,u,1,m,0.25,0,t,1856,f,TRUE,260,15108,TRUE
68,Female,19.42,6.5,u,1,w,1.46,0,t,1647,f,TRUE,80,2954,TRUE
69,Female,35.17,25.125,u,1,x,1.625,0,t,1028,t,TRUE,515,500,TRUE
70,Female,32.33,7.5,u,1,e,1.585,0,f,709,t,FALSE,420,0,FALSE
71,Female,34.83,4,u,1,d,12.5,1,f,7,t,TRUE,?,0,FALSE
72,Male,38.58,5,u,1,cc,13.5,1,f,583,t,TRUE,980,0,FALSE
73,Female,44.25,0.5,u,1,m,10.75,1,f,279,f,FALSE,400,0,FALSE
74,Female,44.83,7,y,0,c,1.625,1,f,604,f,TRUE,160,2,FALSE
75,Female,20.67,5.29,u,1,q,0.375,1,t,55,f,TRUE,160,0,FALSE
76,Female,34.08,6.5,u,1,aa,0.125,0,f,783,t,TRUE,443,0,FALSE
77,Male,19.17,0.585,y,0,aa,0.585,0,f,797,t,TRUE,160,0,FALSE
78,Female,21.67,1.165,y,0,k,2.5,1,t,576,f,TRUE,180,20,FALSE
79,Female,21.5,9.75,u,1,c,0.25,1,f,266,f,TRUE,140,0,FALSE
80,Female,49.58,19,u,1,ff,0,1,t,516,f,TRUE,94,0,FALSE
81,Male,27.67,1.5,u,1,m,2,0,f,887,f,FALSE,368,0,FALSE
82,Female,39.83,0.5,u,1,m,0.25,1,f,296,f,FALSE,288,0,FALSE
83,Male,?,3.5,u,1,d,3,0,f,717,t,TRUE,300,0,FALSE
84,Female,27.25,0.625,u,1,aa,0.455,0,f,844,t,TRUE,200,0,FALSE
85,Female,37.17,4,u,1,c,5,1,f,502,t,FALSE,280,0,FALSE
86,Female,?,0.375,u,1,d,0.875,0,f,825,t,FALSE,928,0,FALSE
87,Female,25.67,2.21,y,0,aa,4,1,f,66,f,TRUE,188,0,FALSE
88,Female,34,4.5,u,1,aa,1,1,f,158,t,TRUE,240,0,FALSE
89,Male,49,1.5,u,1,j,0,1,f,45,t,TRUE,100,27,FALSE
90,Female,62.5,12.75,y,0,c,5,1,f,134,f,TRUE,112,0,FALSE
91,Female,31.42,15.5,u,1,c,0.5,1,f,34,f,TRUE,120,0,FALSE
92,Female,?,5,y,0,aa,8.5,0,f,829,f,TRUE,0,0,FALSE
93,Female,52.33,1.375,y,0,c,9.46,0,f,805,t,TRUE,200,100,FALSE
94,Female,28.75,1.5,y,0,c,1.5,0,f,872,t,TRUE,0,225,FALSE
95,Male,28.58,3.54,u,1,i,0.5,1,f,65,t,TRUE,171,0,FALSE
96,Female,23,0.625,y,0,aa,0.125,0,f,740,f,TRUE,180,1,FALSE
97,Female,?,0.5,u,1,c,0.835,1,f,614,t,FALSE,320,0,FALSE
98,Male,22.5,11,y,0,q,3,1,f,402,t,TRUE,268,0,FALSE
99,Male,28.5,1,u,1,q,1,1,t,614,t,TRUE,167,500,FALSE
100,Female,37.5,1.75,y,0,c,0.25,0,f,653,t,TRUE,164,400,FALSE
101,Female,35.25,16.5,y,0,c,4,0,f,794,f,TRUE,80,0,FALSE
102,Female,18.67,5,u,1,q,0.375,0,t,786,f,TRUE,0,38,FALSE
103,Female,25,12,u,1,k,2.25,1,t,500,t,TRUE,120,5,FALSE
104,Female,27.83,4,y,0,i,5.75,1,t,448,t,TRUE,75,0,FALSE
105,Female,54.83,15.5,u,1,e,0,0,t,779,f,TRUE,152,130,FALSE
106,Female,28.75,1.165,u,1,k,0.5,1,f,357,f,FALSE,280,0,FALSE
107,Male,25,11,y,0,aa,4.5,1,f,263,f,TRUE,120,0,FALSE
108,Female,40.92,2.25,y,0,x,10,0,f,742,t,TRUE,176,0,FALSE
109,Male,19.75,0.75,u,1,c,0.795,1,t,123,t,TRUE,140,5,FALSE
110,Female,29.17,3.5,u,1,w,3.5,0,t,825,t,TRUE,329,0,FALSE
111,Male,24.5,1.04,y,0,ff,0.5,1,t,386,f,TRUE,180,147,FALSE
112,Female,24.58,12.5,u,1,w,0.875,1,f,504,t,TRUE,260,0,FALSE
113,Male,33.75,0.75,u,1,k,1,1,t,261,t,TRUE,212,0,FALSE
114,Female,20.67,1.25,y,0,c,1.375,1,t,444,t,TRUE,140,210,FALSE
115,Male,25.42,1.125,u,1,q,1.29,1,t,136,f,TRUE,200,0,FALSE
116,Female,37.75,7,u,1,q,11.5,1,t,311,t,TRUE,300,5,FALSE
117,Female,52.5,6.5,u,1,k,6.29,0,t,1801,f,TRUE,0,11202,TRUE
118,Female,57.83,7.04,u,1,m,14,0,t,1763,t,TRUE,360,1332,TRUE
119,Male,20.75,10.335,u,1,cc,0.335,0,t,959,t,TRUE,80,50,TRUE
120,Female,39.92,6.21,u,1,q,0.04,0,t,1080,f,TRUE,200,300,TRUE
121,Female,25.67,12.5,u,1,cc,1.21,0,t,1495,t,TRUE,140,258,TRUE
122,Male,24.75,12.5,u,1,aa,1.5,0,t,836,t,TRUE,120,567,TRUE
123,Male,44.17,6.665,u,1,q,7.375,0,t,823,t,TRUE,0,0,TRUE
124,Male,23.5,9,u,1,q,8.5,0,t,1613,t,TRUE,120,0,TRUE
125,Female,34.92,5,u,1,x,7.5,0,t,1452,t,TRUE,0,1000,TRUE
126,Female,47.67,2.5,u,1,m,2.5,0,t,925,t,TRUE,410,2510,TRUE
127,Female,22.75,11,u,1,q,2.5,0,t,1561,t,TRUE,100,809,TRUE
128,Female,34.42,4.25,u,1,i,3.25,0,t,1044,f,TRUE,274,610,TRUE
129,Male,28.42,3.5,u,1,w,0.835,0,f,1179,f,FALSE,280,0,TRUE
130,Female,67.75,5.5,u,1,e,13,0,t,926,t,TRUE,0,0,TRUE
131,Female,20.42,1.835,u,1,c,2.25,0,t,1759,f,TRUE,100,150,TRUE
132,Male,47.42,8,u,1,e,6.5,0,t,1436,f,TRUE,375,51100,TRUE
133,Female,36.25,5,u,1,c,2.5,0,t,1307,f,TRUE,0,367,TRUE
134,Female,32.67,5.5,u,1,q,5.5,0,t,1320,t,TRUE,408,1000,TRUE
135,Female,48.58,6.5,u,1,q,6,0,f,1317,t,TRUE,350,0,TRUE
136,Female,39.92,0.54,y,0,aa,0.5,0,t,1766,f,TRUE,200,1000,TRUE
137,Female,33.58,2.75,u,1,m,4.25,0,t,862,f,TRUE,204,0,TRUE
138,Male,18.83,9.5,u,1,w,1.625,0,t,833,t,TRUE,40,600,TRUE
139,Male,26.92,13.5,u,1,q,5,0,t,981,f,TRUE,0,5000,TRUE
140,Male,31.25,3.75,u,1,cc,0.625,0,t,1607,t,TRUE,181,0,TRUE
141,Male,56.5,16,u,1,j,0,0,t,1412,f,TRUE,0,247,TRUE
142,Female,43,0.29,y,0,cc,1.75,0,t,817,f,TRUE,100,375,TRUE
143,Female,22.33,11,u,1,w,2,0,t,763,f,TRUE,80,278,TRUE
144,Female,27.25,1.665,u,1,cc,5.085,0,t,1510,f,TRUE,399,827,TRUE
145,Female,32.83,2.5,u,1,cc,2.75,0,t,1507,f,TRUE,160,2072,TRUE
146,Female,23.25,1.5,u,1,q,2.375,0,t,1116,t,TRUE,0,582,TRUE
147,Male,40.33,7.54,y,0,q,8,0,t,1375,f,TRUE,0,2300,TRUE
148,Male,30.5,6.5,u,1,c,4,0,t,1516,t,TRUE,0,3065,TRUE
149,Male,52.83,15,u,1,c,5.5,0,t,1310,f,TRUE,0,2200,TRUE
150,Male,46.67,0.46,u,1,cc,0.415,0,t,1148,t,TRUE,440,6,TRUE
151,Male,58.33,10,u,1,q,4,0,t,730,f,TRUE,0,1602,TRUE
152,Female,37.33,6.5,u,1,m,4.25,0,t,1416,t,TRUE,93,0,TRUE
153,Female,23.08,2.5,u,1,c,1.085,0,t,863,t,TRUE,60,2184,TRUE
154,Female,32.75,1.5,u,1,cc,5.5,0,t,851,t,TRUE,0,0,TRUE
155,Male,21.67,11.5,y,0,j,0,0,t,1626,t,TRUE,0,0,TRUE
156,Male,28.5,3.04,y,0,x,2.54,0,t,938,f,TRUE,70,0,TRUE
157,Male,68.67,15,u,1,e,0,0,t,1721,f,TRUE,0,3376,TRUE
158,Female,28,2,u,1,k,4.165,0,t,1616,t,TRUE,181,0,TRUE
159,Female,34.08,0.08,y,0,m,0.04,0,t,1527,t,TRUE,280,2000,TRUE
160,Female,27.67,2,u,1,x,1,0,t,932,f,TRUE,140,7544,TRUE
161,Female,44,2,u,1,m,1.75,0,t,1845,t,TRUE,0,15,TRUE
162,Female,25.08,1.71,u,1,x,1.665,0,t,1447,t,TRUE,395,20,TRUE
163,Female,32,1.75,y,0,e,0.04,0,f,1016,t,TRUE,393,0,TRUE
164,Male,60.58,16.5,u,1,q,11,0,f,1864,t,TRUE,21,10561,TRUE
165,Male,40.83,10,u,1,q,1.75,0,f,1218,f,TRUE,29,837,TRUE
166,Female,19.33,9.5,u,1,q,1,0,f,867,t,TRUE,60,400,TRUE
167,Male,32.33,0.54,u,1,cc,0.04,0,f,1202,f,TRUE,440,11177,TRUE
168,Female,36.67,3.25,u,1,q,9,0,f,725,t,TRUE,102,639,TRUE
169,Female,37.5,1.125,y,0,d,1.5,0,f,729,t,TRUE,431,0,TRUE
170,Male,25.08,2.54,y,0,aa,0.25,0,f,783,t,TRUE,370,0,TRUE
171,Female,41.33,0,u,1,c,15,0,f,956,f,TRUE,0,0,TRUE
172,Female,56,12.5,u,1,k,8,0,f,1152,t,TRUE,24,2028,TRUE
173,Male,49.83,13.585,u,1,k,8.5,0,f,1119,t,TRUE,0,0,TRUE
174,Female,22.67,10.5,u,1,q,1.335,0,f,1067,f,TRUE,100,0,TRUE
175,Female,27,1.5,y,0,w,0.375,0,f,823,t,TRUE,260,1065,TRUE
176,Female,25,12.5,u,1,aa,3,0,f,1349,t,FALSE,20,0,TRUE
177,Male,26.08,8.665,u,1,aa,1.415,0,f,756,f,TRUE,160,150,TRUE
178,Male,18.42,9.25,u,1,q,1.21,0,t,1748,f,TRUE,60,540,TRUE
179,Female,20.17,8.17,u,1,aa,1.96,0,t,891,f,TRUE,60,158,TRUE
180,Female,47.67,0.29,u,1,c,15,0,t,1130,f,TRUE,0,15000,TRUE
181,Male,21.25,2.335,u,1,i,0.5,0,t,764,f,FALSE,80,0,TRUE
182,Male,20.67,3,u,1,q,0.165,0,t,1155,f,TRUE,100,6,TRUE
183,Male,57.08,19.5,u,1,c,5.5,0,t,1695,f,TRUE,0,3000,TRUE
184,Male,22.42,5.665,u,1,q,2.585,0,t,1530,f,TRUE,129,3257,TRUE
185,Female,48.75,8.5,u,1,c,12.5,0,t,1129,f,TRUE,181,1655,TRUE
186,Female,40,6.5,u,1,aa,3.5,0,t,1582,f,TRUE,0,500,TRUE
187,Female,40.58,5,u,1,c,5,0,t,978,f,TRUE,0,3065,TRUE
188,Male,28.67,1.04,u,1,c,2.5,0,t,799,t,TRUE,300,1430,TRUE
189,Male,33.08,4.625,u,1,q,1.625,0,t,941,f,TRUE,0,0,TRUE
190,Female,21.33,10.5,u,1,c,3,0,f,1813,t,TRUE,0,0,TRUE
191,Female,42,0.205,u,1,i,5.125,0,f,893,f,TRUE,400,0,TRUE
192,Female,41.75,0.96,u,1,x,2.5,0,f,1211,f,TRUE,510,600,TRUE
193,Female,22.67,1.585,y,0,w,3.085,0,t,1626,f,TRUE,80,0,TRUE
194,Female,34.5,4.04,y,0,i,8.5,0,t,1783,t,TRUE,195,0,TRUE
195,Female,28.25,5.04,y,0,c,1.5,0,t,1771,t,TRUE,144,7,TRUE
196,Female,33.17,3.165,y,0,x,3.165,0,t,736,t,TRUE,380,0,TRUE
197,Female,48.17,7.625,u,1,w,15.5,0,t,1612,f,TRUE,0,790,TRUE
198,Female,27.58,2.04,y,0,aa,2,0,t,1238,t,TRUE,370,560,TRUE
199,Female,22.58,10.04,u,1,x,0.04,0,t,1064,f,TRUE,60,396,TRUE
200,Male,24.08,0.5,u,1,q,1.25,0,t,1749,f,TRUE,0,678,TRUE
201,Male,41.33,1,u,1,i,2.25,0,f,1384,t,TRUE,0,300,TRUE
202,Female,24.83,2.75,u,1,c,2.25,0,t,1439,f,TRUE,?,600,TRUE
203,Male,20.75,10.25,u,1,q,0.71,0,t,1883,t,TRUE,49,0,TRUE
204,Female,36.33,2.125,y,0,w,0.085,0,t,1226,f,TRUE,50,1187,TRUE
205,Male,35.42,12,u,1,q,14,0,t,1485,f,TRUE,0,6590,TRUE
206,Male,71.58,0,?,?,?,0,0,f,1693,f,p,?,0,TRUE
207,Female,28.67,9.335,u,1,q,5.665,0,t,1778,f,TRUE,381,168,TRUE
208,Female,35.17,2.5,u,1,k,4.5,0,t,1478,f,TRUE,150,1270,TRUE
209,Female,39.5,4.25,u,1,c,6.5,0,t,842,f,TRUE,117,1210,TRUE
210,Female,39.33,5.875,u,1,cc,10,0,t,1562,t,TRUE,399,0,TRUE
211,Female,24.33,6.625,y,0,d,5.5,0,f,1709,t,FALSE,100,0,TRUE
212,Female,60.08,14.5,u,1,ff,18,0,t,1722,t,TRUE,0,1000,TRUE
213,Female,23.08,11.5,u,1,i,3.5,0,t,823,f,TRUE,56,742,TRUE
214,Female,26.67,2.71,y,0,cc,5.25,0,t,1620,f,TRUE,211,0,TRUE
215,Female,48.17,3.5,u,1,aa,3.5,0,f,701,f,FALSE,230,0,TRUE
216,Female,41.17,4.04,u,1,cc,7,0,t,992,f,TRUE,320,0,TRUE
217,Female,55.92,11.5,u,1,ff,5,0,t,935,f,TRUE,0,8851,TRUE
218,Female,53.92,9.625,u,1,e,8.665,0,t,1884,f,TRUE,0,0,TRUE
219,Male,18.92,9.25,y,0,c,1,0,t,1336,t,TRUE,80,500,TRUE
220,Male,50.08,12.54,u,1,aa,2.29,0,t,1496,t,TRUE,156,0,TRUE
221,Female,65.42,11,u,1,e,20,0,t,786,t,TRUE,22,0,TRUE
222,Male,17.58,9,u,1,aa,1.375,0,f,1616,t,TRUE,0,0,TRUE
223,Male,18.83,9.54,u,1,aa,0.085,0,f,889,f,TRUE,100,0,TRUE
224,Male,37.75,5.5,u,1,q,0.125,0,f,1839,t,TRUE,228,0,TRUE
225,Female,23.25,4,u,1,c,0.25,0,f,1478,t,TRUE,160,0,TRUE
226,Female,18.08,5.5,u,1,k,0.5,0,f,1293,f,TRUE,80,0,TRUE
227,Male,22.5,8.46,y,0,x,2.46,0,f,1276,f,TRUE,164,0,TRUE
228,Female,19.67,0.375,u,1,q,2,0,t,1274,t,TRUE,80,0,TRUE
229,Female,22.08,11,u,1,cc,0.665,0,f,741,f,TRUE,100,0,TRUE
230,Female,25.17,3.5,u,1,cc,0.625,0,t,895,f,TRUE,0,7059,TRUE
231,Male,47.42,3,u,1,x,13.875,0,t,1067,t,TRUE,519,1704,TRUE
232,Female,33.5,1.75,u,1,x,4.5,0,t,1580,t,TRUE,253,857,TRUE
233,Female,27.67,13.75,u,1,w,5.75,0,f,1567,t,TRUE,487,500,TRUE
234,Male,58.42,21,u,1,i,10,0,t,1448,f,TRUE,0,6700,TRUE
235,Male,20.67,1.835,u,1,q,2.085,0,t,1452,f,TRUE,220,2503,TRUE
236,Female,26.17,0.25,u,1,i,0,0,f,1032,t,TRUE,0,0,TRUE
237,Female,21.33,7.5,u,1,aa,1.415,0,t,1577,f,TRUE,80,9800,TRUE
238,Female,42.83,4.625,u,1,q,4.58,0,f,1710,f,FALSE,0,0,TRUE
239,Female,38.17,10.125,u,1,x,2.5,0,t,1519,f,TRUE,520,196,TRUE
240,Female,20.5,10,y,0,c,2.5,0,f,752,f,FALSE,40,0,TRUE
241,Female,48.25,25.085,u,1,w,1.75,0,t,824,f,TRUE,120,14,TRUE
242,Female,28.33,5,u,1,w,11,0,f,1819,t,TRUE,70,0,TRUE
243,Male,18.75,7.5,u,1,q,2.71,0,t,982,f,TRUE,?,26726,TRUE
244,Female,18.5,2,u,1,i,1.5,0,t,700,f,TRUE,120,300,TRUE
245,Female,33.17,3.04,y,0,c,2.04,0,t,730,t,TRUE,180,18027,TRUE
246,Female,45,8.5,u,1,cc,14,0,t,1706,t,TRUE,88,2000,TRUE
247,Male,19.67,0.21,u,1,q,0.29,0,t,903,f,TRUE,80,99,TRUE
248,?,24.5,12.75,u,1,c,4.75,0,t,1177,f,TRUE,73,444,TRUE
249,Female,21.83,11,u,1,x,0.29,0,t,1168,f,TRUE,121,0,TRUE
250,Female,40.25,21.5,u,1,e,20,0,t,1319,f,TRUE,0,1200,TRUE
251,Female,41.42,5,u,1,q,5,0,t,1169,t,TRUE,470,0,TRUE
252,Male,17.83,11,u,1,x,1,0,t,765,f,TRUE,0,3000,TRUE
253,Female,23.17,11.125,u,1,x,0.46,0,t,1397,f,TRUE,100,0,TRUE
254,Female,?,0.625,u,1,k,0.25,1,f,553,f,TRUE,380,2010,FALSE
255,Female,18.17,10.25,u,1,c,1.085,1,f,29,f,TRUE,320,13,FALSE
256,Female,20,11.045,u,1,c,2,1,f,497,t,TRUE,136,0,FALSE
257,Female,20,0,u,1,d,0.5,1,f,602,f,TRUE,144,0,FALSE
258,Male,20.75,9.54,u,1,i,0.04,1,f,295,f,TRUE,200,1000,FALSE
259,Male,24.5,1.75,y,0,c,0.165,1,f,581,f,TRUE,132,0,FALSE
260,Female,32.75,2.335,u,1,d,5.75,0,f,750,t,TRUE,292,0,FALSE
261,Male,52.17,0,y,0,ff,0,0,f,746,f,TRUE,0,0,FALSE
262,Male,48.17,1.335,u,1,i,0.335,0,f,900,f,TRUE,0,120,FALSE
263,Male,20.42,10.5,y,0,x,0,1,f,498,t,TRUE,154,32,FALSE
264,Female,50.75,0.585,u,1,ff,0,1,f,282,f,TRUE,145,0,FALSE
265,Female,17.08,0.085,y,0,c,0.04,1,f,65,f,TRUE,140,722,FALSE
266,Female,18.33,1.21,y,0,e,0,1,f,373,f,TRUE,100,0,FALSE
267,Male,32,6,u,1,d,1.25,1,f,500,f,TRUE,272,0,FALSE
268,Female,59.67,1.54,u,1,q,0.125,0,f,1497,t,TRUE,260,0,TRUE
269,Female,18,0.165,u,1,q,0.21,0,f,1830,f,TRUE,200,40,TRUE
270,Female,37.58,0,?,?,?,0,0,f,1752,f,p,?,0,TRUE
271,Female,32.33,2.5,u,1,c,1.25,1,f,452,t,TRUE,280,0,FALSE
272,Female,18.08,6.75,y,0,m,0.04,0,f,671,f,TRUE,140,0,FALSE
273,Female,38.25,10.125,y,0,k,0.125,1,f,459,f,TRUE,160,0,FALSE
274,Female,30.67,2.5,u,1,cc,2.25,1,f,615,t,FALSE,340,0,FALSE
275,Female,18.58,5.71,u,1,d,0.54,1,f,558,f,TRUE,120,0,FALSE
276,Male,19.17,5.415,u,1,i,0.29,1,f,396,f,TRUE,80,484,FALSE
277,Male,18.17,10,y,0,q,0.165,1,f,257,f,TRUE,340,0,FALSE
278,Female,24.58,13.5,y,0,ff,0,1,f,329,f,TRUE,?,0,FALSE
279,Female,16.25,0.835,u,1,m,0.085,1,f,266,f,FALSE,200,0,FALSE
280,Female,21.17,0.875,y,0,c,0.25,1,f,31,f,TRUE,280,204,FALSE
281,Female,23.92,0.585,y,0,cc,0.125,1,f,323,f,TRUE,240,1,FALSE
282,Female,17.67,4.46,u,1,c,0.25,1,f,120,f,FALSE,80,0,FALSE
283,Male,16.5,1.25,u,1,q,0.25,0,t,823,f,TRUE,108,98,FALSE
284,Female,23.25,12.625,u,1,c,0.125,1,t,625,f,TRUE,0,5552,FALSE
285,Female,17.58,10,u,1,w,0.165,1,t,465,f,TRUE,120,1,FALSE
286,Male,?,1.5,u,1,ff,0,1,t,376,t,TRUE,200,105,FALSE
287,Female,29.5,0.58,u,1,w,0.29,1,t,517,f,TRUE,340,2803,FALSE
288,Female,18.83,0.415,y,0,c,0.165,1,t,253,f,TRUE,200,1,FALSE
289,Male,21.75,1.75,y,0,j,0,1,f,11,f,TRUE,160,0,FALSE
290,Female,23,0.75,u,1,m,0.5,0,f,814,t,FALSE,320,0,FALSE
291,Male,18.25,10,u,1,w,1,0,t,845,f,TRUE,120,1,FALSE
292,Female,25.42,0.54,u,1,w,0.165,0,t,668,f,TRUE,272,444,FALSE
293,Female,35.75,2.415,u,1,w,0.125,0,t,806,f,TRUE,220,1,FALSE
294,Male,16.08,0.335,u,1,ff,0,0,t,752,f,TRUE,160,126,FALSE
295,Male,31.92,3.125,u,1,ff,3.04,0,t,775,t,TRUE,200,4,FALSE
296,Female,69.17,9,u,1,ff,4,1,t,600,f,TRUE,70,6,FALSE
297,Female,32.92,2.5,u,1,aa,1.75,0,t,740,t,TRUE,720,0,FALSE
298,Female,16.33,2.75,u,1,aa,0.665,1,t,136,f,TRUE,80,21,FALSE
299,Female,22.17,12.125,u,1,c,3.335,0,t,653,t,TRUE,180,173,FALSE
300,Male,57.58,2,u,1,ff,6.5,0,t,823,f,TRUE,0,10,FALSE
301,Female,18.25,0.165,u,1,d,0.25,1,f,468,t,FALSE,280,0,FALSE
302,Female,23.42,1,u,1,c,0.5,1,f,422,t,FALSE,280,0,FALSE
303,Male,15.92,2.875,u,1,q,0.085,1,f,453,f,TRUE,120,0,FALSE
304,Male,24.75,13.665,u,1,q,1.5,1,f,443,f,TRUE,280,1,FALSE
305,Female,48.75,26.335,y,0,ff,0,1,f,197,t,TRUE,0,0,FALSE
306,Female,23.5,2.75,u,1,ff,4.5,1,f,17,f,TRUE,160,25,FALSE
307,Female,18.58,10.29,u,1,ff,0.415,1,f,249,f,TRUE,80,0,FALSE
308,Female,27.75,1.29,u,1,k,0.25,1,f,398,t,FALSE,140,0,FALSE
